STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
COLORADO,5614162,1997,August,F0,40.85,-102.08,40.85,-102.08,0,0,0,0,0,0
FLORIDA,5602829,1997,July,F0,26.78,-80.7,26.82,-80.67,0,0,0,0,,
MISSOURI,5609544,1997,July,F0,36.58,-89.58,36.58,-89.58,0,0,0,0,,
FLORIDA,5602686,1997,July,F0,26.12,-81.78,26.17,-81.67,0,0,0,0,,
OHIO,5612101,1997,July,F3,38.85,-84.18,38.82,-84.07,0,0,0,0,2M,
WYOMING,5606806,1997,July,F0,42.63,-110.17,42.77,-109.97,0,0,0,0,,
WYOMING,5607055,1997,July,F0,42.77,-105.02,42.77,-105.02,0,0,0,0,0,0
PENNSYLVANIA,5613597,1997,August,F1,41.42,-76.58,41.42,-76.58,1,0,0,0,,
NEBRASKA,5609356,1997,June,F1,41.03,-98.6,40.97,-98.55,0,0,0,0,750K,100K
KANSAS,5606132,1997,July,F1,39.1,-96.93,39.1,-96.92,3,0,0,0,200K,
TEXAS,5609526,1997,June,F0,35.67,-101.33,35.67,-101.33,0,0,0,0,,
OHIO,5617114,1997,August,F0,41.47,-82.18,41.47,-82.18,0,0,0,0,,
TEXAS,5611799,1997,June,F0,31.62,-104.93,31.62,-104.93,0,0,0,0,,
FLORIDA,5587377,1997,January,F1,30.63,-87,30.63,-87,0,0,0,0,.1M,
WASHINGTON,5611638,1997,August,F0,47.92,-122.1,47.92,-122.1,0,0,0,0,,
WASHINGTON,5611639,1997,August,F0,47,-123.48,47,-123.48,0,0,0,0,,
WISCONSIN,5612455,1997,July,F1,43.15,-89.4,43.15,-89.37,1,0,0,0,388.5K,1K
TEXAS,5618684,1997,June,F1,34.05,-98.5,34.05,-98.5,0,0,0,0,20K,
OKLAHOMA,5620380,1997,June,F0,35.3,-95.6,35.3,-95.6,0,0,0,0,,
OKLAHOMA,5620583,1997,June,F0,35.52,-95.97,35.52,-95.97,0,0,0,0,,
TEXAS,5611243,1997,June,F0,35.28,-101.37,35.28,-101.37,0,0,0,0,,
MICHIGAN,5607597,1997,July,F3,43.17,-83.72,43.17,-83.72,0,0,0,0,.6M,
MICHIGAN,5607598,1997,July,F3,43.18,-83.62,43.18,-83.62,1,0,1,0,3.8M,
WISCONSIN,5606409,1997,July,F0,44.13,-89.52,44.13,-89.52,0,0,0,0,,
WASHINGTON,5606612,1997,July,F1,48.6,-118.05,48.6,-118.05,0,0,0,0,20K,0
NEBRASKA,5607036,1997,July,F0,41.2,-103.67,41.2,-103.67,0,0,0,0,0,0
ILLINOIS,5601609,1997,July,F0,40.55,-90.87,40.55,-90.87,0,0,0,0,,
NORTH DAKOTA,5612347,1997,August,F0,46.9,-98.78,46.9,-98.78,0,0,0,0,,
NORTH DAKOTA,5612349,1997,August,F0,46.9,-98.7,46.9,-98.7,0,0,0,0,,
NORTH DAKOTA,5612350,1997,August,F0,46.9,-98.98,46.9,-98.98,0,0,0,0,,
IOWA,5611480,1997,July,F0,42.72,-96.17,42.72,-96.17,0,0,0,0,,
FLORIDA,5602546,1997,July,F0,25.58,-80.33,25.58,-80.33,0,0,0,0,2K,
SOUTH CAROLINA,5602095,1997,July,F0,34.48,-80.32,34.52,-80.3,0,0,0,0,0,0
TEXAS,5608087,1997,June,F0,32.95,-98.75,32.95,-98.75,0,0,0,0,,
TEXAS,5608089,1997,June,F1,33,-98.67,33,-98.67,0,0,0,0,,
WYOMING,5608247,1997,June,F0,41.63,-106.95,41.63,-106.95,0,0,0,0,0,0
SOUTH CAROLINA,5602088,1997,July,F2,33.85,-81.05,33.88,-81.02,6,0,1,0,917K,25K
IOWA,5603131,1997,July,F1,43.1,-94.72,43.1,-94.68,0,0,0,0,.22M,3K
ILLINOIS,5610854,1997,July,F1,41.87,-88.12,41.87,-88.12,0,0,0,0,,
NORTH CAROLINA,5608905,1997,July,F0,35.38,-77.78,35.38,-77.78,0,0,0,0,,
NEBRASKA,5609760,1997,August,F0,41.37,-103.5,41.37,-103.5,0,0,0,0,3K,0
FLORIDA,5615719,1997,June,F0,26.52,-81.85,26.52,-81.85,0,0,0,0,.5K,0
SOUTH DAKOTA,5606992,1997,July,F0,43.13,-96.57,43.13,-96.57,0,0,0,0,,
MINNESOTA,5615257,1997,July,F0,43.9,-93.07,43.9,-93.07,0,0,0,0,,
TEXAS,5609502,1997,June,F0,35.77,-100.63,35.77,-100.63,0,0,0,0,,
SOUTH DAKOTA,5612015,1997,July,F1,44.45,-100.22,44.42,-100.17,0,0,0,0,,
FLORIDA,5616239,1997,June,F0,28.03,-81.78,28.03,-81.78,0,0,0,0,20K,0
FLORIDA,5616235,1997,June,F0,28.08,-81.8,28.08,-81.8,0,0,0,0,3K,0
FLORIDA,5616236,1997,June,F0,26.58,-81.87,26.58,-81.87,0,0,0,0,16K,0
MINNESOTA,5616228,1997,July,F2,45.3,-93.93,45.28,-93.82,0,0,0,0,,
MINNESOTA,5616229,1997,July,F2,45.27,-93.82,45.3,-93.82,0,0,0,0,,
MASSACHUSETTS,5613840,1997,July,F1,42.63,-72.88,42.67,-72.68,0,0,0,0,50K,
MINNESOTA,5606781,1997,July,F0,47.03,-96.53,47.03,-96.53,0,0,0,0,,
TEXAS,5609517,1997,June,F0,34.9,-101.65,34.9,-101.65,0,0,0,0,,
NEW HAMPSHIRE,5613944,1997,July,F1,42.87,-72.28,42.87,-72.28,1,0,0,0,500K,
NEW HAMPSHIRE,5613948,1997,July,F2,42.95,-71.85,42.95,-71.85,0,0,0,0,250K,
WEST VIRGINIA,5608425,1997,June,F0,39,-79.08,39,-79.08,0,0,0,0,,15K
MINNESOTA,5608421,1997,June,F0,45.23,-94.25,45.23,-94.25,0,0,0,0,,
TEXAS,5609510,1997,June,F0,35.78,-102.05,35.78,-102.05,0,0,0,0,,
TEXAS,5609511,1997,June,F0,35.82,-102.02,35.82,-102.02,0,0,0,0,,
FLORIDA,5624401,1997,June,F0,26.13,-81.8,26.13,-81.8,0,0,0,0,,
WYOMING,5607157,1997,July,F0,42.75,-105.07,42.75,-105.07,0,0,0,0,0,0
WYOMING,5607158,1997,July,F0,42.75,-105,42.75,-105,0,0,0,0,0,0
WYOMING,5607159,1997,July,F0,42.7,-105.4,42.7,-105.4,0,0,0,0,0,0
NORTH DAKOTA,5606694,1997,July,F2,48.5,-101.7,48.5,-101.7,2,0,1,0,46K,
IOWA,5611486,1997,July,F0,42.75,-95.55,42.75,-95.55,0,0,0,0,,
ILLINOIS,5610851,1997,July,F1,41.53,-87.88,41.53,-87.88,2,0,0,0,,
ILLINOIS,5601601,1997,July,F0,41.45,-90.47,41.45,-90.47,0,0,0,0,,
INDIANA,5620921,1997,July,F2,40.1,-85.68,40.1,-85.68,0,0,0,0,600K,10K
