STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
MICHIGAN,5587888,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5587890,1997,February,,,,,,0,0,0,0,,
MISSOURI,5585567,1997,May,,,,,,0,0,0,0,,
INDIANA,5585936,1997,February,,,,,,0,0,0,0,,
LOUISIANA,5602262,1997,April,,,,,,0,0,0,0,2.4K,
MISSOURI,5586184,1997,August,,,,,,0,0,0,0,,
MISSOURI,5587275,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587276,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587277,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587278,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587279,1997,February,,,,,,0,0,0,0,,
PENNSYLVANIA,5596708,1997,January,,,,,,0,0,0,0,,
IOWA,5585529,1997,February,,,,,,0,0,0,0,,
IOWA,5590765,1997,February,,,,,,0,0,0,0,,
INDIANA,5585934,1997,February,,,,,,0,0,0,0,,
VIRGIN ISLANDS,5620210,1997,July,,,,,,0,0,0,0,,
CALIFORNIA,5624142,1997,July,,,,,,0,0,0,0,,
NEVADA,5590166,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590335,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590336,1997,January,,,,,,0,0,0,0,,
WASHINGTON,5603151,1997,July,,,,,,0,0,0,0,,
IDAHO,5618420,1997,August,,,,,,0,0,0,0,,
IOWA,5586115,1997,February,,,,,,0,0,0,0,,
HAWAII,5626205,1997,August,,,,,,0,0,0,0,,
HAWAII,5626206,1997,August,,,,,,0,0,0,0,,
HAWAII,5626207,1997,August,,,,,,0,0,0,0,,
HAWAII,5626208,1997,August,,,,,,0,0,0,0,,
ILLINOIS,5591256,1997,February,,,,,,0,0,0,0,,
INDIANA,5591257,1997,February,,,,,,0,0,0,0,,
ILLINOIS,5591258,1997,February,,,,,,0,0,0,0,,
VIRGINIA,5602893,1997,July,,,,,,0,0,0,0,,
PUERTO RICO,5622222,1997,July,,,,,,0,0,0,0,,
PUERTO RICO,5622227,1997,July,,,,,,0,0,0,0,,
OHIO,5615321,1997,June,,,,,,0,0,0,0,,
COLORADO,5614044,1997,August,,,,,,0,0,0,0,,0
KENTUCKY,5614882,1997,August,,,,,,0,0,0,0,,
FLORIDA,5615588,1997,June,,,,,,0,0,0,0,50K,0
WYOMING,5610530,1997,July,,,,,,0,0,0,0,,
ARIZONA,5611385,1997,August,,,,,,0,0,0,0,0K,0K
ARIZONA,5611386,1997,August,,,,,,0,0,0,0,0K,0K
INDIANA,5585947,1997,February,,,,,,0,0,0,0,,
INDIANA,5585923,1997,February,,,,,,0,0,0,0,,
IOWA,5586131,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5611572,1997,August,,,,,,0,0,0,0,50K,
NEW JERSEY,5596719,1997,January,,,,,,0,0,0,0,,
ALASKA,5611239,1997,August,,,,,,0,0,0,0,,
CALIFORNIA,5622122,1997,July,,,,,,0,0,0,0,,
GUAM,5623670,1997,July,,,,,,0,0,0,0,,
CALIFORNIA,5624143,1997,July,,,,,,0,0,0,0,,
MICHIGAN,5588276,1997,February,,,,,,0,0,0,0,,
MICHIGAN,5588270,1997,February,,,,,,0,0,0,0,,
LOUISIANA,5611659,1997,July,,,,,,0,0,0,0,,
HAWAII,5626204,1997,August,,,,,,0,0,0,0,,
HAWAII,5626198,1997,July,,,,,,0,0,0,0,,
HAWAII,5626201,1997,July,,,,,,0,0,0,0,,
COLORADO,5614041,1997,August,,,,,,0,0,0,0,,0
WISCONSIN,5615352,1997,August,,,,,,0,0,0,0,,
WISCONSIN,5615350,1997,August,,,,,,0,0,0,0,,
UTAH,5622974,1997,July,,,,,,0,0,0,0,0,
UTAH,5622979,1997,July,,,,,,0,0,0,0,0K,
WISCONSIN,5608896,1997,June,,,,,,0,0,0,0,50K,
IOWA,5603121,1997,July,,,,,,0,0,0,0,25K,15K
IOWA,5603122,1997,July,,,,,,0,0,0,0,25K,15K
IOWA,5603123,1997,July,,,,,,0,0,0,0,25K,15K
HAWAII,5626202,1997,July,,,,,,0,0,0,0,,
LOUISIANA,5611765,1997,July,,,,,,0,0,0,0,10K,
IDAHO,5618274,1997,August,,,,,,0,0,0,0,,
PUERTO RICO,5599306,1997,January,,,,,,0,0,0,0,,
IOWA,5585536,1997,February,,,,,,0,0,0,0,,
CALIFORNIA,5606516,1997,July,,,,,,0,0,0,0,,0
INDIANA,5614883,1997,August,,,,,,0,0,0,0,20K,
COLORADO,5615763,1997,August,,,,,,0,0,1,0,,
MONTANA,5613227,1997,July,,,,,,0,0,0,0,,
NEW JERSEY,5614597,1997,July,,,,,,0,0,0,0,,
IDAHO,5611816,1997,July,,,,,,0,0,0,0,,
IDAHO,5611817,1997,July,,,,,,0,0,0,0,,
IOWA,5586130,1997,February,,,,,,0,0,0,0,,
INDIANA,5614884,1997,August,,,,,,0,0,0,0,,
NEVADA,5610209,1997,July,,,,,,0,0,0,0,,
COLORADO,5615765,1997,August,,,,,,0,0,0,0,25M,
ARIZONA,5612834,1997,August,,,,,,0,0,0,0,1K,
PENNSYLVANIA,5596711,1997,January,,,,,,0,0,0,0,,
IOWA,5586128,1997,February,,,,,,0,0,0,0,,
LOUISIANA,5611750,1997,July,,,,,,0,0,0,0,5K,
ARKANSAS,5614169,1997,August,,,,,,0,0,0,0,1K,
ARIZONA,5611439,1997,August,,,,,,0,0,0,0,0K,0K
ARIZONA,5611440,1997,August,,,,,,0,0,0,0,0K,0K
ILLINOIS,5590232,1997,February,,,,,,0,0,0,0,,
WISCONSIN,5612464,1997,July,,,,,,0,0,0,0,,
