EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
5258792,2001,July,,MISSOURI,,,,,0,0,0,0,
5258942,2001,July,,NEBRASKA,,,,,0,0,0,0,
5258943,2001,July,,NEBRASKA,,,,,0,0,0,0,
5253960,2001,June,,MARYLAND,,,,,0,0,0,0,
5253961,2001,June,,MARYLAND,,,,,0,0,0,0,
5258570,2001,July,,MISSOURI,,,,,0,0,0,0,
5258571,2001,July,,MISSOURI,,,,,0,0,0,0,
5258869,2001,July,,MISSOURI,,,,,0,0,0,0,
5258870,2001,July,,MISSOURI,,,,,0,0,0,0,
5258871,2001,July,,MISSOURI,,,,,0,0,0,0,
5258872,2001,July,,MISSOURI,,,,,0,0,2,0,
5258873,2001,July,,MISSOURI,,,,,0,0,0,0,
5258919,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258920,2001,July,,ILLINOIS,,,,,0,0,0,0,
5254584,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254585,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254586,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254587,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254590,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254749,2001,June,,MARYLAND,,,,,0,0,0,0,
5258830,2001,July,,NEBRASKA,,,,,0,0,0,0,
5257971,2001,June,,MISSOURI,,,,,0,0,1,0,
5258579,2001,July,,MISSOURI,,,,,0,0,1,0,
5258662,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258663,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258664,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258665,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258666,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258866,2001,July,,MISSOURI,,,,,0,0,0,0,
5258867,2001,July,,MISSOURI,,,,,0,0,0,0,
5258868,2001,July,,MISSOURI,,,,,0,0,0,0,
5259036,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259038,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259039,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259040,2001,July,,ILLINOIS,,,,,0,0,0,0,
5253949,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253946,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5256713,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256714,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256715,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256716,2001,July,,WISCONSIN,,,,,0,0,0,0,
5254746,2001,June,,MARYLAND,,,,,0,0,0,0,
5254747,2001,June,,MARYLAND,,,,,0,0,0,0,
5254748,2001,June,,MARYLAND,,,,,0,0,0,0,
5253947,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253864,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5259448,2001,July,,WISCONSIN,,,,,0,0,0,0,
5253948,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5257595,2001,July,,MISSOURI,,,,,0,0,0,0,
5257596,2001,July,,MISSOURI,,,,,0,0,0,0,
5253955,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253956,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5254768,2001,June,,MARYLAND,,,,,0,0,0,0,
5257592,2001,July,,MISSOURI,,,,,0,0,0,0,
5257593,2001,July,,MISSOURI,,,,,0,0,0,0,
5257594,2001,July,,MISSOURI,,,,,0,0,1,0,
5254766,2001,June,,MARYLAND,,,,,0,0,0,0,
5254762,2001,June,,MARYLAND,,,,,0,0,0,0,
5254763,2001,June,,MARYLAND,,,,,0,0,1,0,
5254764,2001,June,,MARYLAND,,,,,0,0,0,0,
5254765,2001,June,,MARYLAND,,,,,0,0,0,0,
5254767,2001,June,,MARYLAND,,,,,0,0,0,0,
5253862,2001,June,,PENNSYLVANIA,,,,,0,0,0,0,
5254494,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254502,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254503,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254504,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254505,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254506,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254144,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254507,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254508,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254509,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254510,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254760,2001,June,,MARYLAND,,,,,0,0,0,0,
5254761,2001,June,,MARYLAND,,,,,0,0,0,0,
5254523,2001,June,,MARYLAND,,,,,0,0,0,0,
5254146,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254147,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254148,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254149,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254750,2001,June,,MARYLAND,,,,,0,0,0,0,
5254758,2001,June,,MARYLAND,,,,,0,0,0,0,
5254759,2001,June,,MARYLAND,,,,,0,0,0,0,
5252053,2001,June,,CALIFORNIA,,,,,2,0,1,0,
5254142,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254499,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254500,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254501,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254143,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254145,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254223,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254402,2001,June,,DISTRICT OF COLUMBIA,,,,,0,0,0,0,
5253953,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253954,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253383,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5253863,2001,June,,PENNSYLVANIA,,,,,0,0,2,0,
5254740,2001,June,,MARYLAND,,,,,0,0,0,0,
5254741,2001,June,,MARYLAND,,,,,0,0,0,0,
5253380,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5253381,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5254522,2001,June,,MARYLAND,,,,,0,0,0,0,
5253382,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5254219,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254222,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258677,2001,July,,MISSOURI,,,,,0,0,0,0,
5258678,2001,July,,MISSOURI,,,,,0,0,0,0,
5258679,2001,July,,MISSOURI,,,,,0,0,0,0,
5258668,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258669,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258670,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258671,2001,July,,MISSOURI,,,,,0,0,0,0,
5258672,2001,July,,MISSOURI,,,,,0,0,0,0,
5258673,2001,July,,MISSOURI,,,,,0,0,0,0,
5258674,2001,July,,MISSOURI,,,,,10,0,0,0,
5258925,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258926,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258771,2001,July,,MISSOURI,,,,,0,0,0,0,
5258773,2001,July,,MISSOURI,,,,,0,0,0,0,
5258470,2001,July,,MISSOURI,,,,,0,0,0,0,
5258471,2001,July,,MISSOURI,,,,,0,0,0,0,
5258675,2001,July,,MISSOURI,,,,,9,0,0,0,
5258676,2001,July,,MISSOURI,,,,,0,0,0,0,
5258577,2001,July,,MISSOURI,,,,,0,0,0,0,
5258578,2001,July,,MISSOURI,,,,,0,0,0,0,
5258466,2001,July,,MISSOURI,,,,,0,0,0,0,
5258467,2001,July,,MISSOURI,,,,,0,0,0,0,
5258801,2001,July,,MISSOURI,,,,,0,0,0,0,
5258802,2001,July,,MISSOURI,,,,,0,0,0,0,
5258930,2001,July,,ILLINOIS,,,,,0,0,0,0,
5253860,2001,June,,PENNSYLVANIA,,,,,0,0,0,0,
5253943,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253944,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5258468,2001,July,,MISSOURI,,,,,0,0,0,0,
5258469,2001,July,,MISSOURI,,,,,0,0,0,0,
5258874,2001,July,,MISSOURI,,,,,0,0,0,0,
5258008,2001,July,,CALIFORNIA,,,,,2,0,0,0,
5253952,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5260332,2001,July,,NEW JERSEY,,,,,0,0,0,0,
5258931,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258932,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258933,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257717,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257718,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257719,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257720,2001,July,,ILLINOIS,,,,,0,0,0,0,
5260333,2001,July,,NEW JERSEY,,,,,0,0,0,0,
5260747,2001,August,,IOWA,,,,,0,0,0,0,
5258800,2001,July,,MISSOURI,,,,,0,0,0,0,
5257620,2001,July,,KENTUCKY,,,,,0,0,0,0,
5260771,2001,August,,IOWA,,,,,0,0,0,0,
5260748,2001,August,,IOWA,,,,,0,0,0,0,
5260749,2001,August,,IOWA,,,,,0,0,0,0,
5260750,2001,August,,IOWA,,,,,0,0,0,0,
5260751,2001,August,,IOWA,,,,,0,0,0,0,
5260770,2001,August,,IOWA,,,,,0,0,0,0,
5260774,2001,August,,IOWA,,,,,0,0,0,0,
5260670,2001,August,,IOWA,,,,,0,0,0,0,
5254152,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254153,2001,June,,VIRGINIA,,,,,0,0,0,0,
5260671,2001,August,,IOWA,,,,,0,0,0,0,
5258951,2001,July,,IOWA,,,,,0,0,0,0,
5255888,2001,June,,ILLINOIS,,,,,0,0,1,0,
5258845,2001,July,,KANSAS,,,,,0,0,0,0,
5258846,2001,July,,KANSAS,,,,,0,0,0,0,
5258847,2001,July,,KANSAS,,,,,0,0,0,0,
5258848,2001,July,,KANSAS,,,,,0,0,0,0,
5258849,2001,July,,KANSAS,,,,,0,0,0,0,
5258850,2001,July,,KANSAS,,,,,0,0,0,0,
5258851,2001,July,,KANSAS,,,,,0,0,0,0,
5258852,2001,July,,MISSOURI,,,,,0,0,0,0,
5258580,2001,July,,MISSOURI,,,,,0,0,0,0,
5258581,2001,July,,MISSOURI,,,,,0,0,0,0,
5258952,2001,July,,IOWA,,,,,0,0,0,0,
5258953,2001,July,,IOWA,,,,,0,0,0,0,
5258667,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258927,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258928,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258929,2001,July,,ILLINOIS,,,,,0,0,0,0,
5253941,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5258501,2001,July,,MISSOURI,,,,,0,0,0,0,
5258572,2001,July,,MISSOURI,,,,,0,0,0,0,
5258573,2001,July,,MISSOURI,,,,,0,0,0,0,
5258574,2001,July,,MISSOURI,,,,,0,0,0,0,
5258575,2001,July,,MISSOURI,,,,,0,0,0,0,
5258576,2001,July,,MISSOURI,,,,,0,0,1,0,
5258875,2001,July,,MISSOURI,,,,,0,0,0,0,
5259450,2001,July,,WISCONSIN,,,,,0,0,0,0,
5253951,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5253942,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5258502,2001,July,,MISSOURI,,,,,0,0,0,0,
5253861,2001,June,,PENNSYLVANIA,,,,,0,0,0,0,
5257615,2001,July,,KENTUCKY,,,,,0,0,0,0,
5257616,2001,July,,KENTUCKY,,,,,0,0,0,0,
5257617,2001,July,,KENTUCKY,,,,,0,0,0,0,
5257618,2001,July,,KENTUCKY,,,,,0,0,0,0,
5257619,2001,July,,KENTUCKY,,,,,0,0,0,0,
5257715,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257716,2001,July,,ILLINOIS,,,,,0,0,0,0,
5257721,2001,July,,ILLINOIS,,,,,0,0,0,0,
5260746,2001,August,,IOWA,,,,,0,0,0,0,
5260772,2001,August,,IOWA,,,,,0,0,0,0,
5260773,2001,August,,IOWA,,,,,0,0,0,0,
5260775,2001,August,,IOWA,,,,,0,0,0,0,
5258803,2001,July,,MISSOURI,,,,,0,0,0,0,
5258804,2001,July,,MISSOURI,,,,,0,0,0,0,
5258805,2001,July,,MISSOURI,,,,,0,0,0,0,
5258806,2001,July,,MISSOURI,,,,,0,0,0,0,
5258901,2001,July,,MISSOURI,,,,,0,0,0,0,
5257461,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257462,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257463,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257464,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257465,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257466,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257467,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5257468,2001,August,,NORTH DAKOTA,,,,,0,0,0,0,
5258890,2001,July,,MISSOURI,,,,,0,0,0,0,
5258774,2001,July,,MISSOURI,,,,,0,0,0,0,
5258775,2001,July,,MISSOURI,,,,,0,0,0,0,
5258776,2001,July,,MISSOURI,,,,,0,0,0,0,
5258777,2001,July,,MISSOURI,,,,,0,0,0,0,
5259033,2001,July,,ILLINOIS,,,,,0,0,0,0,
5254607,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5254608,2001,June,,WEST VIRGINIA,,,,,0,0,0,0,
5258472,2001,July,,MISSOURI,,,,,0,0,0,0,
5258473,2001,July,,MISSOURI,,,,,0,0,0,0,
5258474,2001,July,,MISSOURI,,,,,0,0,0,0,
5258475,2001,July,,MISSOURI,,,,,0,0,1,0,
5258476,2001,July,,MISSOURI,,,,,0,0,0,0,
5258477,2001,July,,MISSOURI,,,,,0,0,0,0,
5258772,2001,July,,MISSOURI,,,,,0,0,0,0,
5258936,2001,July,,NEBRASKA,,,,,0,0,0,0,
5258937,2001,July,,NEBRASKA,,,,,0,0,0,0,
5258681,2001,July,,MISSOURI,,,,,0,0,0,0,
5258682,2001,July,,MISSOURI,,,,,0,0,0,0,
5258683,2001,July,,MISSOURI,,,,,0,0,0,0,
5258684,2001,July,,MISSOURI,,,,,0,0,0,0,
5259451,2001,July,,WISCONSIN,,,,,0,0,0,0,
5258559,2001,July,,MISSOURI,,,,,0,0,0,0,
5258560,2001,July,,MISSOURI,,,,,0,0,0,0,
5258561,2001,July,,MISSOURI,,,,,0,0,0,0,
5258562,2001,July,,MISSOURI,,,,,0,0,0,0,
5258902,2001,July,,MISSOURI,,,,,0,0,0,0,
5258903,2001,July,,MISSOURI,,,,,0,0,0,0,
5258904,2001,July,,MISSOURI,,,,,0,0,0,0,
5258905,2001,July,,MISSOURI,,,,,0,0,0,0,
5258906,2001,July,,MISSOURI,,,,,0,0,0,0,
5258907,2001,July,,MISSOURI,,,,,0,0,0,0,
5258908,2001,July,,MISSOURI,,,,,0,0,0,0,
5258909,2001,July,,MISSOURI,,,,,0,0,0,0,
5258563,2001,July,,MISSOURI,,,,,0,0,0,0,
5258564,2001,July,,MISSOURI,,,,,0,0,0,0,
5258565,2001,July,,MISSOURI,,,,,0,0,0,0,
5258566,2001,July,,MISSOURI,,,,,0,0,0,0,
